SO2,NO2,PM10,PM2.5,O3,CO,temp,humi,press,w_speed,w_dir
5,35,4,19,86,0.5,21.7,89,1006,2.8,54.2
4,35,14,4,92,0.4,21.3,92,1005.4,2.6,68.5
4,53,8,4,73,0.5,21.4,92,1004.9,1.9,73
4,55,19,5,72,0.5,21.5,92,1004.3,2.4,63.7
4,63,15,10,64,0.5,21.4,92,1004,2,77.2
5,64,15,10,61,0.6,21.6,91,1003.8,1.4,104.1
4,58,21,14,60,0.6,21.8,90,1004.2,2.2,114.8
4,51,26,16,57,0.5,21.7,91,1005,2.4,101.3
4,53,23,22,49,0.5,21.9,90,1005.5,2.1,97.4
4,63,20,25,33,0.5,22.1,90,1006,1.4,99
4,69,28,25,23,0.6,22.3,90,1006.3,1.1,95.1
5,78,34,32,11,0.6,22.5,88,1006.5,1,74.8
5,78,33,31,3,0.7,22.5,90,1006.9,0.6,337.8
4,75,48,35,1,0.7,22.3,90,1006.5,0.6,33.7
6,79,50,42,0,0.9,22,92,1004.7,1,72.3
6,75,50,48,0,0.8,22,92,1004.7,0.9,56.1
6,73,43,44,0,0.8,22,92,1004.6,0.8,47.1
6,72,47,46,0,0.9,22.1,92,1005.4,0.8,26.7
6,69,50,48,4,0.9,22.4,91,1005.7,1.2,60.7
7,68,39,39,12,0.8,23.4,86,1004.9,1.7,87.3
9,61,38,35,14,0.6,24.5,84,1005,1.5,100.7
11,69,38,21,3,0.7,24.5,87,1005.1,1.2,74.7
10,70,43,31,1,0.8,24.5,88,1005.3,1.6,324.2
4,51,26,27,36,0.7,22.2,92,1005.3,1.5,324.6
3,61,5,6,28,0.7,22.1,94,1005,1.1,102.8
3,73,10,6,22,0.7,22.5,94,1003.9,1,144.1
4,64,23,8,38,0.8,23.2,90,1003,1.4,104.9
6,54,63,16,52,0.7,25,80,1002.9,0.8,263.8
5,68,37,16,36,0.7,24.2,84,1003.5,1.3,93.3
5,77,22,19,17,0.7,23.6,89,1004.3,1.1,94.2
4,66,23,17,29,0.7,23.2,90,1004.5,1.4,111.4
6,57,13,9,32,0.7,23.2,89,1005,1.1,109.7
7,77,22,10,8,0.7,23,90,1005.7,0.8,53.6
6,71,21,17,12,0.7,23.1,90,1006.1,0.8,101.9
5,57,24,21,16,0.7,23.2,90,1006.4,0.4,319.6
4,63,24,20,4,0.7,23.1,92,1006.1,0.5,74.6
4,69,21,21,0,0.8,22.9,93,1005.6,0.6,40.8
4,75,30,19,0,0.8,22.8,94,1004.5,0.8,48.5
5,66,45,27,0,1,22.8,94,1004.9,0.9,61
6,61,52,38,0,1,22.9,94,1005.5,0.9,70.1
6,61,52,47,1,1.1,23.2,93,1006.2,0.9,32.8
6,67,51,46,3,1.1,24,90,1006.5,0.9,73.7
10,74,50,47,11,0.9,25.4,86,1006.7,1.3,112
6,68,57,41,15,0.8,27,82,1006.8,0.6,132.8
5,56,50,39,20,0.7,27.8,81,1006.5,0.9,218.6
4,54,63,32,7,0.7,27.2,86,1005.9,1,74.7
4,46,76,22,10,0.6,27.1,88,1005.4,0.9,86.7
8,33,32,24,29,0.6,28.8,80,1004.8,1.2,233.9
6,20,32,22,42,0.5,29,78,1004.1,2.2,237.6
4,24,41,13,31,0.5,28,84,1003.5,2,241.9
3,13,34,17,90,0.5,24.6,89,1004.2,1.5,304.7
2,38,20,20,50,0.7,24.8,90,1004.4,0.4,30.7
2,63,41,21,6,0.7,25.6,92,1005,0.6,29.9
2,37,64,24,8,0.6,26.5,91,1005.6,0.9,82.9
3,54,28,17,0,0.7,25.6,92,1006.3,0.8,59.9
5,38,40,20,0,0.5,25.4,94,1005.5,0.8,298.1
4,31,28,21,4,0.5,25.6,94,1005.9,0.7,47
3,24,28,17,13,0.6,26.3,91,1006.4,1,287.7
4,22,23,13,23,0.7,27.6,82,1006.8,1.7,249.1
10,22,24,17,35,0.6,28.3,77,1007.4,2.9,225.7
13,24,35,14,48,0.6,29.1,73,1007.7,2,231.1
8,21,40,20,57,0.6,29.2,72,1007.8,2.8,234.8
4,15,29,11,84,0.5,29.9,68,1007.3,2.5,241.5
3,13,40,20,86,0.5,30.1,68,1006.4,2.1,243.7
3,17,29,15,69,0.5,30,68,1005.5,2.1,231.6
3,18,29,17,67,0.5,30.2,68,1005.3,1.8,239.5
1,23,30,14,56,0.5,30.2,67,1005.5,1.8,249.4
1,23,31,12,47,0.5,29.6,69,1006,1.4,72.2
2,40,39,17,40,0.6,27.2,76,1006.8,2.2,66.5
2,66,37,11,16,0.7,25.9,82,1007.2,1.2,44.3
2,52,44,11,5,0.6,26.9,83,1007.5,1,80.9
0,38,44,17,3,0.5,26.9,85,1008.2,0.7,45.7
1,41,32,16,0,0.6,26.5,87,1008.8,0.5,34.3
0,28,23,14,9,0.5,26.6,83,1008.8,1,272.6
0,30,17,12,4,0.5,26.5,84,1008.4,0.8,310.9
1,33,35,25,0,0.6,24.8,95,1008.7,0.8,37.2
3,40,55,15,1,0.8,25.4,94,1008.9,0.7,64.1
6,36,36,37,10,0.8,27.7,81,1009.2,1.2,76.4
6,27,35,28,31,0.6,29,72,1009.5,1.6,220.4
8,24,36,18,48,0.5,30.4,66,1009.7,1.6,237.3
9,17,34,17,67,0.4,31.1,62,1009.4,2,236.1
7,16,31,14,76,0.4,31.6,60,1008.5,2,246.4
5,24,44,14,34,0.6,30.5,65,1006.6,1.3,278
4,26,36,16,26,0.6,29.4,70,1006.9,1.6,256.6
11,30,37,15,16,0.6,28.7,74,1007.3,2,239
14,29,37,15,15,0.6,28.2,77,1007.9,2,247.2
13,27,49,16,15,0.6,27.7,80,1008.4,1.6,239.6
12,26,33,22,15,0.6,27.3,81,1008.3,1.2,270.4
8,24,36,20,15,0.6,26.9,83,1008,0.9,275.5
6,24,36,15,15,0.6,26.9,82,1007.5,1.3,235.1
4,27,29,14,11,0.6,26.8,83,1007,1.6,236.7
6,24,29,15,12,0.5,26.4,85,1006.3,0.9,353.3
4,22,24,13,14,0.5,26.3,86,1006.3,1.2,285.1
6,22,28,14,15,0.5,26.4,84,1006.8,1.6,237.5
6,24,25,14,13,0.6,26.4,84,1007.5,1.3,233.6
4,22,22,19,19,0.6,27,81,1008.4,1.6,224.7
11,24,26,18,21,0.6,28,76,1009.4,1.5,232.7
4,17,28,14,36,0.5,28.8,71,1009.9,1.3,249.3
3,14,26,13,53,0.5,30.2,64,1009.7,1.5,249.3
7,21,42,13,81,0.6,31,61,1009.2,1.1,236.9
4,17,49,19,111,0.5,31.2,60,1008.4,1.4,208.9
3,12,37,22,103,0.5,31.9,57,1007.6,1.4,264.1
2,11,30,17,94,0.4,32.2,56,1006.7,1.7,240.8
2,13,32,14,91,0.4,32.4,55,1006.1,1.5,218.9
1,17,11,17,40,0.7,29.2,69,1005.9,2.2,263.6
3,18,11,20,33,0.7,28.6,72,1006.4,1.8,251.4
6,19,23,17,30,0.7,28.1,73,1006.7,2.3,253.9
9,22,40,22,26,0.7,27.7,76,1007.1,2.2,239.6
12,23,30,18,25,0.8,27.4,76,1007.1,2.1,233.5
12,21,39,19,29,0.9,27.2,79,1006.7,1.8,231.7
8,18,29,15,30,0.7,27.1,80,1006.2,1.8,237.9
4,17,24,17,28,0.7,27,81,1006.3,1,243.6
6,25,30,17,16,0.7,26.5,84,1006.4,0.6,275.4
5,28,32,21,11,0.6,26.6,84,1006.4,0.9,267.6
16,36,27,17,10,0.6,26.9,79,1006.3,1.4,262.7
9,26,26,17,20,0.7,27,78,1006.4,1.8,243.8
14,28,28,21,22,0.7,27.8,74,1007.2,2.1,235.2
10,25,32,27,32,0.8,28.9,68,1008,2,223.7
5,17,33,19,50,0.7,29.7,64,1008.5,2.4,234.3
2,16,44,17,57,0.7,30.2,63,1009,2.3,238.2
0,14,53,20,66,0.7,30.5,63,1008.9,1.7,236.4
0,9,28,19,83,0.7,31.5,61,1008.3,2.3,240.6
0,9,26,17,86,0.6,32.7,57,1006.9,1.7,241
4,14,38,17,85,0.7,32.9,54,1005.9,1.3,244.3
7,20,40,20,76,0.7,32.5,56,1005.6,1.8,233
9,27,48,20,60,0.7,31.5,61,1005.7,1.6,259.5
8,30,43,24,44,0.8,30.6,66,1006.2,1.2,245.4
6,36,49,17,25,0.8,29.8,69,1006.8,1,301.2
8,43,44,24,13,0.8,29.2,71,1007.4,0.8,30.6
10,41,47,26,16,0.8,28.8,72,1007.6,0.9,293.7
9,27,40,23,29,0.7,28.7,72,1007.4,1.2,251.5
8,31,45,21,21,0.8,28.4,74,1007.3,0.7,241
10,39,41,21,11,0.7,27.8,77,1007,0.5,307.4
8,36,41,27,12,0.7,27.3,81,1006.7,0.6,1.8
7,33,40,27,15,0.7,27.4,82,1006.3,0.8,250.2
8,35,39,22,14,0.7,27.2,83,1006.6,0.6,319.4
7,33,36,24,14,0.7,27.1,84,1007.1,0.7,319.6
13,23,34,28,27,0.7,27.1,85,1007.9,1,101
17,21,34,20,32,0.7,27.5,82,1008.7,1.3,114.9
6,27,50,22,30,0.8,28.3,78,1009.1,1.3,121.5
11,45,67,26,14,0.9,28.4,78,1009.7,1.3,68.3
23,30,47,33,53,0.8,29.9,70,1010,1.1,251.3
8,19,44,21,76,0.7,30.4,65,1009.3,2,238
7,19,42,19,90,0.7,30.9,65,1008.8,1.2,298.8
3,30,53,23,65,0.7,27.2,73,1008.6,2.8,41.9
3,33,85,23,65,0.7,25.4,83,1007.7,2,56.8
4,32,14,13,81,0.7,27.8,75,1006.7,1.9,66.1
5,41,42,11,64,0.7,29.7,73,1006.3,1.3,73.4
6,44,59,20,45,0.8,30.4,71,1006.3,1.1,51.3
7,38,48,25,37,0.7,29.9,72,1007,1.2,93
7,38,55,24,25,0.7,28.8,77,1007.4,1.6,110.9
6,37,47,23,21,0.7,28.3,80,1008.3,1.8,101.7
6,35,34,21,20,0.6,27.9,81,1009.1,1.3,91.3
6,29,35,16,27,0.6,27.8,81,1009.6,1.2,97.1
5,23,29,20,32,0.6,27.6,82,1010.3,0.8,89.7
5,38,12,13,16,0.6,27.1,84,1010.8,1.6,55
5,20,14,23,85,0.6,24.4,78,1010.8,2.5,61
5,24,9,6,78,0.6,23.8,78,1009.6,1.9,73.3
5,25,11,7,70,0.6,24.3,76,1009.7,1.2,91.2
5,32,16,7,56,0.6,24.4,76,1009.8,1.6,76.1
5,51,19,8,29,0.7,24.4,78,1010.6,1.3,53.3
5,59,29,9,20,0.7,24.6,78,1011,1.5,61.7
6,66,33,11,13,0.8,24.8,79,1011.3,1.5,72.9
6,63,38,18,28,0.8,25.9,75,1011.1,1.5,65.8
7,35,36,15,72,0.7,26.7,72,1011.3,2,78.5
6,40,47,19,71,0.7,26.5,74,1010.8,1.7,77.5
6,35,43,22,75,0.6,26.4,76,1010.5,1.6,90.6
6,72,44,23,16,0.9,24.8,83,1010.5,1.4,343.6
4,45,23,27,36,0.7,22.1,92,1011.4,2.3,339
4,55,14,6,26,0.7,22.6,90,1009.7,1.5,94.1
5,73,17,8,7,0.8,22.6,90,1010,1.3,108.8
6,69,22,9,5,0.8,22.6,90,1010.6,0.7,64.6
8,65,21,15,5,0.8,22.5,91,1011.3,0.7,77.6
10,59,28,16,7,0.7,22.6,90,1011.8,0.5,27.3
6,58,26,20,8,0.7,22.8,89,1011.8,0.7,16.6
7,65,26,21,0,0.8,22.9,90,1011.6,0.8,40.1
6,68,33,22,0,0.8,22.7,92,1011.3,1.2,48
5,69,34,19,0,0.9,22.6,92,1011.1,1.3,57.2
6,68,41,23,0,0.8,22.5,91,1010.6,1.9,73.4
7,65,46,26,0,0.9,22.6,91,1010.6,1.3,70.1
6,61,44,32,0,0.8,22.7,91,1011.1,1.1,52.4
6,59,39,35,3,0.8,22.8,91,1011.5,1.5,60.8
5,55,30,32,12,0.8,23.2,89,1012,1.6,63.5
5,47,28,28,33,0.8,23.8,85,1012.5,1.9,68.4
5,40,25,18,46,0.7,24.7,81,1012.8,1.7,82.9
5,41,36,16,47,0.7,25.2,79,1012.8,1.6,89.4
6,43,34,18,48,0.7,25.5,78,1012.3,1.5,90.8
7,37,28,15,59,0.7,26.2,76,1011.6,1.3,85.7
8,30,26,17,73,0.7,26.7,74,1011,1.6,93.9
8,28,36,21,83,0.7,27.2,73,1010.1,1.7,108.1
5,23,25,24,100,0.7,28,70,1009,1.6,112
5,24,48,22,92,0.7,28.2,70,1008.6,1.4,73.5
5,29,36,19,82,0.7,28.1,71,1008.4,1.2,92.7
5,28,44,23,76,0.7,27.4,74,1008.7,1.7,112.7
4,20,29,22,57,0.6,26.7,76,1009.5,1.7,107.4
5,25,31,19,48,0.6,26.4,78,1010.5,1.2,110.7
4,24,25,21,49,0.6,26,79,1010.9,1.3,89
4,25,32,16,44,0.6,25.9,80,1011.2,1.4,109.9
3,27,35,17,38,0.6,25.4,83,1011,1.3,109
4,28,43,22,33,0.6,25.1,84,1010.4,1.2,109.2
5,31,36,24,26,0.6,24.8,85,1009.8,0.7,83.6
4,35,33,18,16,0.6,24.5,86,1009.5,0.7,90.6
6,56,40,21,0,0.7,24,89,1009.1,0.7,62.1
11,62,42,30,0,0.7,23.9,90,1009.2,0.7,41.9
9,61,40,28,0,0.7,24.4,88,1009.4,0.9,73.6
16,60,38,28,4,0.7,25.2,85,1009.9,1.2,93.5
14,60,45,36,5,0.8,25.9,82,1010.6,1,90.5
12,54,57,36,16,0.7,27,78,1011.1,1.1,78.8
8,44,47,34,28,0.7,27.5,77,1010.7,1.5,62.4
7,28,42,28,64,0.6,28.7,72,1009.7,2.2,118.2
4,17,41,19,94,0.6,29.4,69,1008.7,2.3,103.5
5,14,37,19,108,0.6,29.9,67,1007.8,2,106.8
4,17,40,24,90,0.6,30.2,65,1007,1.9,230.8
5,13,39,23,84,0.6,30.5,62,1006.2,2,275.4
5,13,35,17,82,0.6,30.3,64,1005.5,1.8,268.6
5,14,37,14,71,0.6,29.9,65,1005.3,2.3,260.2
6,20,38,18,51,0.6,29,68,1005.8,2,236.7
7,20,39,14,38,0.6,28.3,72,1006.6,1.9,257
6,19,30,16,31,0.6,27.8,75,1007.2,1.4,289.7
5,24,30,9,24,0.6,27.5,77,1007.7,1,302.7
5,36,30,11,11,0.6,27.2,79,1008.1,1.1,98.6
5,31,35,13,14,0.6,26.7,82,1007.9,1.1,103.4
4,30,21,17,10,0.6,26.2,85,1007.4,0.8,88.9
5,34,22,10,5,0.5,25.9,87,1006.7,0.7,79
5,34,27,15,4,0.5,25.9,88,1006.2,0.7,75
5,30,29,15,8,0.5,26.1,87,1005.9,0.8,43.5
4,31,28,16,4,0.6,26,88,1005.8,0.6,74.3
5,35,27,14,0,0.6,25.8,89,1005.6,0.5,67.1
5,32,29,15,3,0.6,25.9,89,1005.7,0.5,13.6
7,32,28,19,10,0.7,26.9,86,1006.1,0.7,6.4
8,28,26,18,24,0.8,28.2,78,1006.3,1.4,247.3
7,33,50,21,18,0.7,28,79,1006.7,2.4,232.1
4,14,10,4,115,0.6,26.2,72,1005.7,1.9,260.2
4,20,19,9,119,0.7,26.9,69,1004.3,1.4,3.1
3,24,28,13,129,0.7,26.8,70,1004.1,0.8,42
4,42,32,12,106,0.7,27.2,70,1004,0.6,5.1
5,40,33,17,107,0.8,27.5,69,1004.2,1.1,256.1
6,35,45,21,102,0.8,26.6,71,1004.9,0.9,270.6
5,42,34,19,70,0.8,26.3,74,1005.7,0.6,254.9
6,50,38,24,53,0.9,26,76,1006.3,0.5,288.1
5,42,42,28,58,0.8,26.2,75,1007,0.9,279.3
5,44,43,25,28,0.8,24.9,79,1007.4,1.9,340.1
4,30,20,17,36,0.8,24,79,1007.3,1.6,337.3
5,33,2,6,30,0.8,23.8,77,1007,1.4,313.5
4,46,21,5,11,0.8,23.4,79,1006.7,1.3,318.1
5,46,24,11,8,0.8,23,78,1006.6,1.6,325.2
6,34,19,12,16,0.8,22.4,76,1006.6,1.8,333.9
6,25,20,10,24,0.8,22,74,1007,1.6,318.3
6,23,15,10,27,0.8,21.4,74,1007.4,1.8,326.9
6,22,14,9,30,0.8,21.3,73,1008,2,331.4
8,26,20,10,27,0.8,21.3,72,1009,2.1,332.5
6,28,23,15,26,0.8,21.6,71,1009.8,1.8,337.4
5,28,24,14,27,0.9,21.8,70,1010.2,1.8,346
5,28,26,10,32,0.9,22.7,67,1010.3,1.7,358.5
5,28,29,9,40,0.9,23.4,66,1010,1.5,355.8
5,27,26,8,55,0.9,24.9,63,1009.4,1.2,347.8
5,22,24,15,87,0.9,25.2,62,1008.4,1.7,12.8
4,19,29,14,110,0.9,25.8,60,1007.4,1.9,6.2
3,19,33,10,110,0.8,25.9,60,1006.8,1.5,351.2
5,23,30,10,85,0.9,25.2,63,1006.9,2,355.6
4,26,31,15,77,0.9,25,63,1006.8,1.8,358.4
5,30,31,15,68,0.9,24.8,64,1007.2,1.7,7.8
4,33,28,15,56,0.9,24.7,64,1007.8,1.5,11.4
5,38,30,15,42,0.9,24.4,66,1008.7,1.7,49.2
7,40,32,11,29,1,24.2,66,1009.5,1.7,42.2
6,32,33,15,40,0.9,23.9,67,1010,2.1,43
5,26,33,20,46,0.9,23.5,67,1010.1,2.1,40.7
5,26,42,22,46,0.9,22.9,67,1009.6,1.8,39.3
4,24,33,25,45,0.9,22.6,67,1009.5,1.4,43
4,27,34,25,39,0.9,22.4,68,1009.1,1.5,54.3
5,26,37,26,41,0.9,22.3,67,1009,1.4,40.2
4,27,37,23,39,0.8,22,69,1009.2,1.4,45.8
5,24,42,21,40,0.9,20.7,78,1009.9,1.9,67.3
3,26,38,23,36,0.9,19.3,88,1010.9,1.6,45.2
4,33,31,22,28,0.9,19.2,90,1011.3,1.7,35.6
5,35,32,21,30,0.9,19.7,87,1011.8,2.2,44.1
5,33,31,29,39,0.9,20.3,84,1012.3,1.8,35.7
4,28,28,23,46,0.9,21.2,80,1012.4,2.1,43.5
5,27,31,22,51,0.9,21.9,76,1012.3,1.8,42.8
6,29,34,18,51,0.9,22.5,74,1011.8,1.9,32.4
7,30,34,19,55,0.9,22.5,74,1011.2,1.6,26.6
6,33,37,23,58,0.8,22.4,74,1010.7,1.7,33.2
6,39,44,22,39,0.9,21.4,82,1010.2,1.8,353.7
5,40,31,23,30,0.9,20.5,89,1010.5,1.6,329.2
4,39,21,22,33,0.8,20.1,90,1010.6,2.1,0.6
4,36,16,12,34,0.8,20.1,90,1011,1.4,25.5
4,42,12,10,17,0.9,20.3,90,1011.5,1.3,28.6
4,39,18,10,24,0.8,20.2,89,1012.1,1.7,45.2
4,41,14,9,22,0.8,20,89,1012.4,1.3,48.3
5,47,21,17,13,0.8,20,89,1012.8,1.1,36.4
6,39,17,18,18,0.8,20.2,88,1012.9,1.3,24.5
6,41,20,14,14,0.8,20.3,88,1012.6,1.2,25.9
6,40,17,17,15,0.8,20.3,88,1012.3,1.4,36.6
4,38,26,14,15,0.8,19.8,90,1012,1,29.8
5,32,20,13,19,0.7,20,88,1011.5,0.9,28.1
6,35,20,12,14,0.7,20,88,1011.3,0.9,61.9
6,37,25,11,11,0.7,20,88,1011.6,1,35.5
6,36,25,17,13,0.7,20.2,86,1012.6,1.4,18.3
6,37,21,17,15,0.7,20.6,84,1013.4,1.8,18.3
5,39,23,11,26,0.7,20.9,80,1013.9,2,34.8
5,41,25,16,29,0.7,21.2,77,1014.4,1.6,50.3
7,35,28,13,38,0.7,21.6,76,1014.5,2.1,65.4
12,31,26,14,51,0.7,22.3,73,1014.2,2,61
7,27,41,21,100,0.7,23.2,68,1013.6,2.2,71.1
7,27,51,25,144,0.7,23.5,65,1013,1.9,75.9
7,28,58,31,156,0.7,23.8,64,1012.3,1.5,71.2
7,34,70,38,147,0.7,23.6,64,1011.6,1.8,65.2
8,41,66,43,142,0.7,23.6,65,1011.4,1.7,55.1
8,46,73,43,138,0.7,23.4,65,1011.3,1.6,64.5
8,51,84,47,123,0.8,23.2,67,1011.6,1.2,55.5
7,51,81,50,110,0.8,23.1,68,1012.4,0.9,29.1
8,54,74,58,89,0.9,23.1,68,1012.9,0.4,55.1
7,56,72,54,76,0.9,23.1,67,1013.3,0.7,112.9
7,59,81,52,63,0.8,23.1,68,1013.5,0.8,77.6
6,46,70,53,59,0.7,23,67,1013.8,0.6,73.9
6,41,74,41,53,0.7,22.5,72,1013.5,0.5,321.5
6,39,65,34,47,0.7,21.5,79,1012.4,0.8,84.6
6,54,61,39,31,0.7,21.7,80,1012.1,0.4,354.7
6,51,59,37,27,0.7,22,79,1011.7,0.5,43.4
6,78,69,39,2,0.8,21.9,78,1011.4,0.8,65.8
7,76,81,48,9,0.8,21.9,77,1011.5,1.1,69.2
6,63,68,45,23,0.7,22,76,1011.6,0.8,68.5
8,67,58,37,33,0.7,22.3,70,1012.2,1,56.2
7,62,58,28,42,0.7,22.5,64,1012.8,0.9,46.5
6,61,60,31,44,0.6,21.5,67,1013.2,0.8,75.1
7,74,48,21,29,0.6,22.1,65,1013.2,0.7,6.3
6,74,58,23,22,0.8,21.3,76,1013.2,0.7,236
8,66,44,22,45,0.6,21.4,65,1012.4,1.1,136.5
6,67,48,19,43,0.6,20.3,72,1011.4,0.8,19.9
6,90,45,23,22,0.6,20.7,73,1010.7,0.6,225.1
5,92,57,23,18,0.7,19.6,81,1010.1,0.8,325.5
5,93,40,29,33,0.7,19,84,1009.7,1,37.3
7,76,44,30,82,0.6,18.5,86,1009.7,1.2,41.8
6,68,47,31,82,0.7,18.1,90,1010,1.3,32.1
4,59,33,38,72,0.7,18,91,1010.4,1.6,27.2
5,57,30,33,54,0.7,18.3,92,1010.7,1.3,59.3
5,52,30,38,46,0.6,18.7,93,1011,1.5,64.5
5,46,27,32,50,0.6,18.6,91,1011.3,1.6,52.7
5,34,21,28,60,0.5,18.4,92,1011.2,1.7,34
5,40,31,23,43,0.6,18.5,93,1010.8,1.8,27.4
5,37,24,24,39,0.6,18.5,93,1010,1.6,49.7
5,34,25,29,44,0.6,18.6,93,1009.5,1.6,35.3
5,35,22,21,37,0.6,18.8,93,1009.2,1.1,47.2
5,40,26,25,24,0.6,18.9,92,1009,1.4,20.6
6,37,22,32,30,0.6,18.8,92,1008.8,1.4,41.1
5,41,20,25,26,0.6,18.9,92,1008.9,1.4,34.6
5,50,19,21,16,0.6,19,93,1009.3,1.5,27.7
6,54,21,17,12,0.7,19.2,93,1009.5,1.4,33.5
7,54,17,20,16,0.8,19.6,91,1009.3,1.4,42.7
