WD1,WD,BS,SD,FS,FX,YuL,YL,BJGD,press,GR,QR,wmL,wm,WM,SO2,NO2,PM10,PM2.5,O3,CO
37.1575,320.237,0.0168236,38.0252,4.10937,228.383,0,0.510862,2104.36,100.231,256.113,45.7987,465.956,524.545,630.307,1.97519,24.109,7.41566,4.49702,15.1398,0.128512
36.5165,316.668,0.0179559,42.1975,4.56586,216.365,0.00676537,0.390841,1695.15,100.257,181.76,32.0536,470.709,306.484,368.279,2.1556,26.0246,8.95477,5.58118,8.4383,0.1402
35.2823,312.514,0.0176924,44.8207,7.11311,194.934,0.00966358,0.313267,772.137,100.294,135.801,20.9188,467.386,131.896,158.49,2.65985,27.7123,9.86244,6.1413,5.86579,0.148993
33.7522,309.342,0.0169736,47.2208,7.2989,199.858,0,0.256273,742.461,100.358,80.9993,6.58618,457.649,14.0575,16.8919,2.84517,26.777,9.784,6.13396,6.37212,0.145095
32.6391,307.708,0.0167351,49.8614,6.79564,203.269,0,0.0809137,578.151,100.42,59.6808,2.1194,451.181,0,0,2.72497,25.5615,8.57521,5.41329,6.55784,0.142269
29.7418,303.74,0.0179605,64.1388,4.05001,202.732,0,0,573.912,100.719,16.9645,1.00727,420.545,0,0,3.32241,22.9702,5.34762,3.22624,2.88011,0.125922
29.4185,303.293,0.0184618,67.2614,3.86688,200.587,0,0,518.249,100.722,13.8449,0.866457,419.885,0,0,2.6312,22.1534,5.48347,3.20921,3.31568,0.119519
29.1377,302.896,0.018889,70.0256,3.81229,195.577,0,0.0121968,392.277,100.724,11.3876,0.752878,419.502,0,0,2.5148,22.3354,6.38199,3.63927,2.70931,0.11921
28.9107,302.593,0.0192163,72.2523,3.31645,199.557,0,0.0138869,331.038,100.73,8.83916,0.629217,420.317,0,0,2.1868,23.361,7.59546,4.23233,2.11237,0.124422
28.7367,302.384,0.019338,73.5133,2.63356,212.208,0,0.133333,279.138,100.749,6.8285,0.541116,422.71,0,0,2.4413,25.3045,9.00797,4.9258,0.73483,0.143477
28.6034,302.182,0.0190641,73.0936,2.20399,216.823,0,0.564867,198.74,100.775,5.0014,0.524136,424.919,0,0,3.62144,27.8232,14.2016,7.56663,0.0107961,0.18292
28.0682,301.711,0.0194874,77.2625,1.5001,264.202,0,0.508824,149.312,100.8,5.76686,0.370125,426.063,0,0,2.87348,26.6929,18.8849,10.2655,1.3199,0.189263
28.6052,304.235,0.0196962,75.5461,1.77283,255.588,0,0.751488,409.82,100.823,33.4349,8.53658,428.174,131.643,158.186,2.05622,20.7078,11.5324,6.50982,6.48736,0.161991
29.5287,308.119,0.0193061,69.9443,2.2159,238.008,0,0.839191,571.332,100.838,95.0857,20.812,431.54,322.448,387.462,2.21449,17.0095,9.67468,5.64939,12.3037,0.152999
29.5287,308.119,0.0193061,69.9443,2.2159,238.008,0,0.839191,571.332,100.838,95.0857,20.812,431.54,322.448,387.462,2.72183,15.9536,11.772,7.43806,22.3216,0.154974
30.6248,312.144,0.0188642,63.8833,2.36086,225.394,0,0.626672,828.954,100.851,165.018,33.2941,435.195,507.185,609.447,2.82137,15.0101,12.9124,8.7566,40.9797,0.150585
31.6977,315.649,0.0185077,58.6605,2.78772,226.779,0,0.223225,1067,100.822,239.672,45.0768,438.474,670.833,806.091,2.61428,13.3881,13.1423,9.44304,65.9177,0.148649
32.8647,318.502,0.0178822,52.7389,3.26444,226.324,0,0,1245.19,100.763,303.122,54.847,442.158,789.935,949.207,2.41359,12.4894,13.403,9.96325,90.8412,0.146881
34.0219,320.739,0.017131,47.0474,3.45534,227.719,0,0,1457.57,100.691,342.12,61.377,444.676,858.952,1032.14,1.99965,13.1158,13.1812,10.3037,105.375,0.146758
35.1404,322.364,0.0166223,42.619,3.37991,228.331,0,0,1705.37,100.617,354.24,63.7909,445.422,872.997,1049.02,1.92399,16.5352,9.89848,7.60537,98.2771,0.14406
35.9951,321.761,0.0168891,41.0851,2.79568,229.018,0,0.34,1734.71,100.54,289.256,51.2786,485.37,633.862,761.666,1.9233,21.5422,8.97663,6.77077,90.4293,0.144319
36.4596,315.996,0.0164325,38.8399,2.85653,207.214,0,1,1880.15,100.474,129.103,24.6425,487.882,210.38,252.798,1.41812,21.1692,8.26438,6.21241,87.9103,0.144844
36.7771,315.283,0.0163893,37.9897,2.69715,212.887,0,0.903524,1888.76,100.444,101.916,22.5432,490.247,183.655,220.685,1.73475,21.6739,7.50269,5.35173,67.847,0.141373
36.5311,314.437,0.0173893,40.91,4.51543,216.604,0,0.974729,1793.68,100.441,117.297,23.4356,491.217,175.667,211.086,3.76553,26.9542,6.37838,4.15344,33.6043,0.134741
35.2398,312.324,0.0165089,42.0153,6.76951,197.397,0,0.249629,862.378,100.486,126.108,24.1977,456.362,176.797,212.445,4.54525,28.6775,6.33674,3.97393,14.06,0.133967
33.6033,308.856,0.0162807,45.7957,6.59287,192.244,0,0.167429,596.984,100.545,64.0492,7.34739,446.199,18.9247,22.7404,5.11171,27.6399,6.67758,4.11858,6.50349,0.135626
31.9553,306.824,0.0171932,53.523,6.19928,189.255,0,0.0473816,499.631,100.612,49.6049,1.74861,440.75,0,0,5.07242,27.0518,6.65533,4.08058,4.69665,0.134204
31.0576,305.682,0.0169394,55.7331,5.77383,191.842,0,0.0478682,406.551,100.636,40.016,1.61368,436.72,0,0,4.58328,25.7976,5.96556,3.76951,4.71387,0.129367
30.5623,304.947,0.0166113,56.3403,5.50808,194.979,0,0.0431207,397.647,100.629,32.0386,1.54475,433.266,0,0,3.71674,24.3992,5.21135,3.40367,4.67318,0.126978
30.2165,304.435,0.0164346,56.9404,4.81518,201.14,0,0.0734417,407.115,100.627,24.726,1.43044,431.124,0,0,2.67349,22.4139,5.04366,3.27618,5.46107,0.122873
29.8274,303.89,0.0167274,59.361,4.75534,204.581,0,0.103564,397.31,100.624,20.7796,1.30558,427.409,0,0,2.44007,22.5081,4.7387,3.00419,4.61825,0.123913
29.5209,303.402,0.0168524,60.9493,4.21067,208.949,0,0.126546,344.411,100.625,14.9231,1.13188,421.227,0,0,3.16628,24.7563,5.88699,3.62919,1.55371,0.136303
29.3981,303.168,0.0168605,61.4466,3.27305,217.361,0,0.0660286,410.725,100.63,10.26,1.00488,422.5,0,0,2.07409,19.4554,5.555,3.41079,2.87538,0.122332
28.9494,302.721,0.0187647,70.3135,3.56504,223.663,0,0.0540967,437.431,100.631,11.0161,0.737696,423.147,0,0,1.21389,16.3884,5.17156,3.04472,4.99415,0.111185
28.4726,302.185,0.0205232,79.2257,4.204,230.474,0,0,406.684,100.649,11.3733,0.442155,421.531,0,0,1.09879,18.7717,5.94095,3.36513,5.3276,0.113099
28.3529,301.911,0.019353,75.2883,4.3888,235.461,0,0,371.685,100.678,8.45184,0.606363,420.5,0,0,1.69125,24.5086,8.55173,4.93333,4.02885,0.13768
28.2157,301.605,0.017962,70.4918,4.2843,229.912,0,0.093755,253.715,100.701,4.78228,0.753291,417.164,0,0,2.23546,22.1692,8.28931,4.88705,8.67021,0.149454
28.5626,303.322,0.0175833,67.5517,4.35626,240.203,0,0.0371518,390.562,100.725,35.5971,10.3779,420.076,117.371,141.037,2.35398,18.0865,7.86388,4.76149,16.1976,0.146406
29.3175,306.877,0.0176268,64.6334,4.26377,236.532,0,0.0582637,426.755,100.739,104.931,23.0282,419.916,324.033,389.367,2.13142,16.954,7.83595,5.28653,28.658,0.139899
29.3175,306.877,0.0176268,64.6334,4.26377,236.532,0,0.0582637,426.755,100.739,104.931,23.0282,419.916,324.033,389.367,1.83878,15.5395,8.0708,5.84498,49.5839,0.132935
30.6504,311.004,0.0170197,57.4836,3.87783,235.836,0,0,670.044,100.747,172.467,35.6003,425.039,507.002,609.227,1.876,13.6641,9.21201,6.90573,73.4544,0.13118
32.0691,315.301,0.0166423,51.4996,3.20122,237.59,0,0,1023.86,100.708,232.652,46.8917,432.113,670.779,806.026,1.72881,12.1617,9.09908,6.97053,87.3284,0.13026
33.2191,319.008,0.0163725,47.1926,2.35574,240.565,0,0,1330.89,100.64,274.136,54.6021,439.446,782.26,939.984,1.7034,12.7962,10.1513,7.9418,97.1507,0.13346
34.3157,321.217,0.0160728,43.2966,2.95383,218.959,0,0,1496.12,100.553,326.864,61.4343,442.219,857.601,1030.52,1.73318,13.2599,9.97845,7.92695,99.9922,0.134681
35.2686,322.513,0.0155737,39.5564,3.13579,221.15,0,0,1619.87,100.463,343.666,63.4011,445.619,861.331,1035,1.57032,13.9516,9.05001,7.18514,90.6266,0.128649
36.1346,322.972,0.0150205,36.1703,3.46481,221.248,0,0,1769.44,100.379,344.64,62.807,447.356,825.037,991.387,1.84216,15.9063,9.10626,7.17049,93.9503,0.135847
36.8183,322.318,0.0147468,34.0444,3.88483,222.996,0,0,1838.53,100.297,320.236,57.8089,449.102,723.394,869.249,2.17937,21.3402,10.9326,8.36358,84.8555,0.146701
37.2089,320.587,0.0151315,34.1094,3.60125,226.304,0,0.013855,1929.46,100.271,248.436,45.9706,458.199,533.157,640.656,2.00505,25.6302,9.15867,5.88356,37.396,0.134224
37.2751,318.012,0.0158707,35.6336,3.38507,224.634,0,0.0277426,2023.71,100.272,170.448,32.3621,463.219,329.12,395.479,1.83437,23.2665,8.43191,5.05821,13.2115,0.126921
35.9414,313.823,0.0193506,47.1056,5.85501,206.543,0.0405024,0.620517,1310.78,100.3,138.302,22.0708,477.166,153.753,184.753,1.94323,21.2271,8.70765,5.11101,6.01982,0.129445
34.1987,310.034,0.0199498,54.0172,7.23905,201.853,0,0.300273,546.056,100.366,88.7926,6.15153,464.024,16.7628,20.1426,2.52459,21.6579,8.90244,5.15587,4.00407,0.133146
32.8182,308.054,0.0197872,58.3174,7.07786,204.865,0,0.293238,581.625,100.427,67.2704,1.65564,456.453,0,0,2.82458,21.7857,8.42692,4.9773,3.80606,0.135554
31.8083,306.843,0.0197687,62.0188,5.93719,200.369,0,0.333629,581.637,100.491,52.8074,1.38836,449.679,0,0,2.66609,20.9643,7.31299,4.41036,4.47373,0.133025
31.2283,306.112,0.0194144,63.1124,5.44445,201.536,0,0.337393,526.115,100.488,45.2287,1.33484,450.907,0,0,2.54006,21.3613,7.23108,4.33159,3.43662,0.133931
30.7037,305.349,0.0190622,63.9945,5.13767,200.712,0,0.531914,500.233,100.482,37.0295,1.21777,441.451,0,0,2.36614,20.3321,5.81461,3.39264,3.33222,0.124746
30.3558,304.861,0.0183623,62.9794,4.24378,208.218,0,0.489758,499.528,100.481,28.8092,1.15833,437.797,0,0,2.02904,18.2961,5.50557,3.21054,4.41847,0.116204
30.0278,304.424,0.0182114,63.7383,3.71897,212.522,0,0.337746,578.126,100.481,23.8979,1.07075,435.628,0,0,1.6049,16.4031,5.86596,3.44952,5.77639,0.110243
29.6139,303.862,0.0186651,67.0251,3.88304,215.872,0,0.294499,591.824,100.492,21.5584,0.935488,430.917,0,0,1.50965,16.2129,6.42356,3.82858,5.86811,0.110706
29.0998,303.211,0.0194509,72.1053,4.56797,213.819,0,0.191731,506.417,100.493,21.2587,0.781563,427.105,0,0,1.77129,19.2117,8.06888,4.79382,3.44296,0.122151
28.8001,302.791,0.0199148,75.2241,4.9146,215.596,0,0.086148,496.459,100.513,19.6272,0.690941,427.654,0,0,2.19894,22.1979,10.5347,6.25123,2.82872,0.147917
28.6156,302.525,0.0203084,77.6156,4.73854,216.869,0,0.14921,491.451,100.54,17.1371,0.600046,429.708,0,0,2.81563,19.9513,12.146,7.26597,8.10698,0.168125
28.4368,302.256,0.0203688,78.741,4.0086,212.618,0,0.915457,431.951,100.571,13.1066,0.493254,427.397,0,0,2.77024,15.2659,11.6629,7.03471,16.2273,0.156461
28.8312,304.15,0.0206566,77.9444,4.03036,217.359,0,0.34,583.431,100.598,46.3887,8.45847,451.623,103.406,124.256,2.51606,13.269,10.2948,6.26711,28.3953,0.143769
29.7289,307.34,0.0201235,71.8463,4.8865,220.051,0,0.0734068,697.9,100.62,116.319,21.2082,426.508,317.267,381.236,1.95599,10.8365,9.22376,5.83377,50.4633,0.128702
29.7289,307.34,0.0201235,71.8463,4.8865,220.051,0,0.0734068,697.9,100.62,116.319,21.2082,426.508,317.267,381.236,1.5722,8.64188,8.60742,5.65821,68.6521,0.121962
30.8191,311.081,0.0195751,65.3493,4.63994,218.427,0,0.0860052,856.766,100.625,188.504,33.768,432.74,500.789,601.762,1.21928,7.74144,7.59592,5.2001,73.8915,0.114737
32.4265,314.832,0.0175124,52.9343,4.90802,223.786,0,0.104456,1060.65,100.554,260.879,48.0629,434.028,671.959,807.444,1.08979,8.20225,6.92236,4.86665,75.5306,0.113074
33.6902,317.81,0.0164689,46.061,5.15202,220.533,0,0.185828,1375.32,100.504,324.322,58.345,435.921,797.989,958.885,1.18247,8.92245,6.17065,4.29862,77.606,0.115876
34.7968,320.231,0.0155242,40.5644,4.9652,227.292,0,0.275832,1596.44,100.436,360.469,64.5649,439.913,867.531,1042.45,1.28134,9.66751,5.93671,4.0745,75.9001,0.11729
35.7778,321.537,0.0147203,36.1981,5.15802,227.609,0,0.251928,1791.76,100.319,378.189,66.946,440.768,876.732,1053.5,1.1698,10.8121,5.79343,3.90659,66.5494,0.115499
36.4749,321.778,0.0148942,35.0844,5.42438,224.36,0,0.255619,1863.41,100.241,372.343,64.4205,445.33,819.799,985.093,1.13035,12.7768,5.24283,3.39729,47.501,0.113186
36.8473,320.974,0.0149163,34.3155,5.7329,230.426,0,0.176592,1853.59,100.133,342.448,58.6203,451.183,709.745,852.849,1.47374,14.3204,5.23827,3.13673,27.2706,0.109545
36.9942,319.401,0.0147169,33.5648,5.90897,221.682,0,0.184097,2042.82,100.153,289.295,50.2637,453.373,564.776,678.65,1.36554,15.2688,6.18158,3.59803,17.7329,0.109011
36.6861,316.72,0.0142306,33.0726,6.33912,221.13,0,0.189642,1811.88,100.174,218.871,39.0558,451.659,376.672,452.619,1.82882,15.1466,6.41063,3.5317,11.4312,0.10758
35.1697,312.589,0.0144442,36.82,7.59563,197.122,0,0.181707,1263.14,100.237,149.88,25.4867,445.523,173.512,208.497,2.34133,16.8925,7.0637,3.826,8.69149,0.108248
33.7269,309.208,0.0140591,39.1574,7.18615,200.185,0,0.121919,863.199,100.32,76.2768,7.70594,437.998,18.2452,21.9239,2.42292,14.6547,6.46522,3.51237,12.8405,0.101715
32.203,307.154,0.0149359,45.6896,7.38237,197.509,0,0.171225,671.41,100.39,59.8151,2.02841,434.966,0,0,2.18919,11.9454,5.54872,2.89046,16.6342,0.0957167
30.3199,304.571,0.0170906,58.8056,4.63482,207.252,0,0.0977173,395.412,100.575,24.7565,1.32627,432.925,0,0,2.63153,26.2202,5.68242,3.78577,7.12241,0.132171
30.0534,304.251,0.0170529,59.6548,3.43828,213.014,0,0.107876,411.756,100.587,18.6877,1.17669,433.034,0,0,3.31772,28.7619,6.27958,4.03373,2.825,0.142786
29.7796,303.829,0.0176569,62.8256,3.21112,220.031,0,0.0411358,489.319,100.594,15.0867,1.00606,428.977,0,0,3.08986,25.217,6.04709,3.85089,2.04634,0.137913
