SO2,NO2,PM10,PM2.5,O3,CO,temp,humi,press,w_speed,w_dir,aqi
11,59,36,46,66,0.9,24.6,70,1012.7,1.3,83.2,59.684624
11,40,36,33,112,0.8,25.4,67,1012.1,1.4,97.2,53.99863
10,33,34,27,146,0.8,26,64,1011.3,1.6,54.8,69.086624
11,31,45,33,209,0.8,26.7,62,1010.3,1.3,93.1,102.39336
11,33,64,53,232,0.8,27.3,61,1009.4,0.8,221,117.16715
11,38,63,56,256,0.9,28.3,59,1008.6,0.8,283.5,130.97684
14,52,97,70,266,1,27.5,62,1008,1.1,232.5,133.38348
9,60,118,81,245,1,27,65,1008,1.1,254.4,120.57816
13,54,166,85,173,1,26.4,69,1008.1,1,239.6,102.04724
10,62,73,72,119,1.1,26.1,71,1008.7,1.4,232,80.868675
11,52,68,72,91,1,25.7,74,1009.2,1,272.4,81.19785
10,46,59,54,74,0.8,25,76,1009.6,0.9,34.6,65.495476
8,37,37,39,68,0.7,24.7,76,1009.8,0.9,339.6,52.187027
9,56,38,26,38,0.8,24.5,77,1009.8,0.8,52.7,50.61603
9,56,53,29,30,0.8,23.9,82,1009.5,0.8,63.5,55.259327
8,45,59,43,31,0.8,23.7,84,1009.1,0.7,113,55.950733
8,45,46,42,35,0.7,23.6,84,1008.2,1,104.1,54.91224
7,22,23,39,75,0.6,23.4,82,1007.7,1.2,90.1,54.080765
7,22,22,24,73,0.6,23.4,82,1007.8,1.4,96.5,41.077026
6,31,24,26,55,0.6,23.4,82,1007.9,1.3,116.3,40.74261
7,36,26,30,51,0.7,23.4,82,1008.5,1.5,119.1,44.146496
7,40,26,37,56,0.7,23.7,81,1008.6,1.8,118.9,50.21169
6,35,25,32,69,0.7,24.1,79,1008.8,1.8,110.9,46.197987
7,38,31,26,69,0.7,24.4,79,1009.1,1.8,122.1,42.588207
6,41,37,27,70,0.7,24.8,78,1009.2,1.5,115.3,44.99526
6,39,39,24,81,0.7,24.8,78,1008.9,1.9,115,44.79802
6,32,36,26,94,0.6,25.1,76,1008.1,2.3,121.7,46.89792
5,22,28,23,101,0.6,25.5,75,1006.9,2.4,100.9,48.438686
5,21,35,15,98,0.6,25.3,76,1005.9,2.6,98.6,47.97925
5,26,30,15,84,0.6,25,79,1005.1,1.8,93.2,43.38353
5,35,39,13,68,0.6,24.6,85,1004.6,1.6,102.3,43.933792
4,38,36,21,57,0.6,24.3,90,1004.8,1.3,105.6,43.97263
5,40,26,20,53,0.6,24.3,90,1005.2,1.9,118.9,41.50631
6,53,24,14,36,0.6,24.3,90,1005.5,1.6,112.3,46.180943
6,52,29,23,31,0.6,24.4,90,1006.2,2.2,114.4,47.458405
8,65,28,18,14,0.6,24.4,89,1006.5,2.1,111.2,51.821835
7,34,13,24,53,0.5,24.2,86,1007,2.3,115.7,39.512646
5,15,9,11,78,0.5,24,84,1007,2,121.6,39.182606
5,13,9,11,85,0.5,24.1,82,1006.3,1.9,122.4,41.31664
5,15,10,9,75,0.5,24,82,1005.8,1.3,95.2,38.387142
4,16,12,9,69,0.4,23.8,82,1004.8,1.6,112.6,37.12476
4,19,15,10,59,0.5,23.6,84,1004,0.8,85,34.634216
7,38,22,9,36,0.5,23.6,86,1004.7,1,47.5,39.75754
7,57,27,11,10,0.5,23.5,88,1004.9,1,24.5,48.885426
6,71,30,18,2,0.6,23.4,88,1004.7,1.6,70,55.16439
4,62,26,17,19,0.6,23.4,84,1004.9,1.8,66.9,50.610252
6,58,19,14,23,0.7,24.3,83,1005.3,2,96.6,46.485188
7,59,40,13,6,0.7,25.1,86,1005.7,1.4,78.8,53.45638
7,59,55,23,2,0.8,25.3,88,1006.1,1.3,61.9,57.67918
5,63,55,29,18,0.7,23.6,89,1006.5,2.6,59.1,59.427814
5,35,4,19,86,0.5,21.7,89,1006,2.8,54.2,45.52863
4,35,14,4,92,0.4,21.3,92,1005.4,2.6,68.5,47.446922
4,53,8,4,73,0.5,21.4,92,1004.9,1.9,73,47.170425
4,55,19,5,72,0.5,21.5,92,1004.3,2.4,63.7,48.773632
4,63,15,10,64,0.5,21.4,92,1004,2,77.2,48.886387
5,64,15,10,61,0.6,21.6,91,1003.8,1.4,104.1,48.20492
4,58,21,14,60,0.6,21.8,90,1004.2,2.2,114.8,47.4664
4,51,26,16,57,0.5,21.7,91,1005,2.4,101.3,46.320015
4,53,23,22,49,0.5,21.9,90,1005.5,2.1,97.4,47.306248
4,63,20,25,33,0.5,22.1,90,1006,1.4,99,51.74509
4,69,28,25,23,0.6,22.3,90,1006.3,1.1,95.1,55.22574
5,78,34,32,11,0.6,22.5,88,1006.5,1,74.8,61.405167
5,78,33,31,3,0.7,22.5,90,1006.9,0.6,337.8,61.053177
4,75,48,35,1,0.7,22.3,90,1006.5,0.6,33.7,62.85183
6,69,50,48,4,0.9,22.4,91,1005.7,1.2,60.7,67.48678
7,68,39,39,12,0.8,23.4,86,1004.9,1.7,87.3,61.397907
9,61,38,35,14,0.6,24.5,84,1005,1.5,100.7,56.287014
11,69,38,21,3,0.7,24.5,87,1005.1,1.2,74.7,55.90908
10,70,43,31,1,0.8,24.5,88,1005.3,1.6,324.2,58.079685
4,51,26,27,36,0.7,22.2,92,1005.3,1.5,324.6,48.02107
3,61,5,6,28,0.7,22.1,94,1005,1.1,102.8,44.062115
3,73,10,6,22,0.7,22.5,94,1003.9,1,144.1,50.547276
4,64,23,8,38,0.8,23.2,90,1003,1.4,104.9,50.507374
6,54,63,16,52,0.7,25,80,1002.9,0.8,263.8,58.669964
5,68,37,16,36,0.7,24.2,84,1003.5,1.3,93.3,56.20351
5,77,22,19,17,0.7,23.6,89,1004.3,1.1,94.2,56.036594
4,66,23,17,29,0.7,23.2,90,1004.5,1.4,111.4,51.197536
6,57,13,9,32,0.7,23.2,89,1005,1.1,109.7,44.368042
7,77,22,10,8,0.7,23,90,1005.7,0.8,53.6,55.10618
6,71,21,17,12,0.7,23.1,90,1006.1,0.8,101.9,52.70253
5,57,24,21,16,0.7,23.2,90,1006.4,0.4,319.6,48.23009
4,63,24,20,4,0.7,23.1,92,1006.1,0.5,74.6,50.582653
6,61,52,47,1,1.1,23.2,93,1006.2,0.9,32.8,64.140274
6,67,51,46,3,1.1,24,90,1006.5,0.9,73.7,65.631584
10,74,50,47,11,0.9,25.4,86,1006.7,1.3,112,67.75893
6,68,57,41,15,0.8,27,82,1006.8,0.6,132.8,63.055317
5,56,50,39,20,0.7,27.8,81,1006.5,0.9,218.6,57.512497
4,54,63,32,7,0.7,27.2,86,1005.9,1,74.7,58.424023
4,46,76,22,10,0.6,27.1,88,1005.4,0.9,86.7,59.874073
8,33,32,24,29,0.6,28.8,80,1004.8,1.2,233.9,40.08247
6,20,32,22,42,0.5,29,78,1004.1,2.2,237.6,39.264362
4,24,41,13,31,0.5,28,84,1003.5,2,241.9,40.85615
3,13,34,17,90,0.5,24.6,89,1004.2,1.5,304.7,45.81241
2,38,20,20,50,0.7,24.8,90,1004.4,0.4,30.7,39.863453
2,63,41,21,6,0.7,25.6,92,1005,0.6,29.9,55.782757
2,37,64,24,8,0.6,26.5,91,1005.6,0.9,82.9,52.725945
4,31,28,21,4,0.5,25.6,94,1005.9,0.7,47,39.609943
3,24,28,17,13,0.6,26.3,91,1006.4,1,287.7,36.299614
4,22,23,13,23,0.7,27.6,82,1006.8,1.7,249.1,33.875774
10,22,24,17,35,0.6,28.3,77,1007.4,2.9,225.7,35.23757
13,24,35,14,48,0.6,29.1,73,1007.7,2,231.1,39.049675
8,21,40,20,57,0.6,29.2,72,1007.8,2.8,234.8,41.835045
4,15,29,11,84,0.5,29.9,68,1007.3,2.5,241.5,43.42087
3,13,40,20,86,0.5,30.1,68,1006.4,2.1,243.7,45.485455
3,17,29,15,69,0.5,30,68,1005.5,2.1,231.6,39.366863
3,18,29,17,67,0.5,30.2,68,1005.3,1.8,239.5,38.804676
1,23,30,14,56,0.5,30.2,67,1005.5,1.8,249.4,38.14706
1,23,31,12,47,0.5,29.6,69,1006,1.4,72.2,37.846363
2,40,39,17,40,0.6,27.2,76,1006.8,2.2,66.5,46.20647
2,66,37,11,16,0.7,25.9,82,1007.2,1.2,44.3,56.08856
2,52,44,11,5,0.6,26.9,83,1007.5,1,80.9,52.88248
3,40,55,15,1,0.8,25.4,94,1008.9,0.7,64.1,51.0165
6,36,36,37,10,0.8,27.7,81,1009.2,1.2,76.4,50.556118
6,27,35,28,31,0.6,29,72,1009.5,1.6,220.4,42.862625
8,24,36,18,48,0.5,30.4,66,1009.7,1.6,237.3,40.271008
9,17,34,17,67,0.4,31.1,62,1009.4,2,236.1,39.528633
7,16,31,14,76,0.4,31.6,60,1008.5,2,246.4,41.21463
5,24,44,14,34,0.6,30.5,65,1006.6,1.3,278,41.992107
4,26,36,16,26,0.6,29.4,70,1006.9,1.6,256.6,39.50085
11,30,37,15,16,0.6,28.7,74,1007.3,2,239,40.3987
14,29,37,15,15,0.6,28.2,77,1007.9,2,247.2,39.56473
13,27,49,16,15,0.6,27.7,80,1008.4,1.6,239.6,43.30192
12,26,33,22,15,0.6,27.3,81,1008.3,1.2,270.4,38.991756
8,24,36,20,15,0.6,26.9,83,1008,0.9,275.5,39.23087
6,24,36,15,15,0.6,26.9,82,1007.5,1.3,235.1,38.618454
4,27,29,14,11,0.6,26.8,83,1007,1.6,236.7,37.750828
6,24,29,15,12,0.5,26.4,85,1006.3,0.9,353.3,36.37758
4,22,24,13,14,0.5,26.3,86,1006.3,1.2,285.1,34.370064
6,22,28,14,15,0.5,26.4,84,1006.8,1.6,237.5,35.602722
6,24,25,14,13,0.6,26.4,84,1007.5,1.3,233.6,35.010662
4,22,22,19,19,0.6,27,81,1008.4,1.6,224.7,35.397007
11,24,26,18,21,0.6,28,76,1009.4,1.5,232.7,35.80854
4,17,28,14,36,0.5,28.8,71,1009.9,1.3,249.3,35.921276
3,14,26,13,53,0.5,30.2,64,1009.7,1.5,249.3,35.43801
7,21,42,13,81,0.6,31,61,1009.2,1.1,236.9,44.087433
4,17,49,19,111,0.5,31.2,60,1008.4,1.4,208.9,53.640556
3,12,37,22,103,0.5,31.9,57,1007.6,1.4,264.1,50.10288
2,11,30,17,94,0.4,32.2,56,1006.7,1.7,240.8,46.70458
2,13,32,14,91,0.4,32.4,55,1006.1,1.5,218.9,46.1215
1,17,11,17,40,0.7,29.2,69,1005.9,2.2,263.6,32.859978
3,18,11,20,33,0.7,28.6,72,1006.4,1.8,251.4,35.528477
6,19,23,17,30,0.7,28.1,73,1006.7,2.3,253.9,34.40974
9,22,40,22,26,0.7,27.7,76,1007.1,2.2,239.6,41.09979
12,23,30,18,25,0.8,27.4,76,1007.1,2.1,233.5,36.856323
12,21,39,19,29,0.9,27.2,79,1006.7,1.8,231.7,39.823044
8,18,29,15,30,0.7,27.1,80,1006.2,1.8,237.9,35.90395
4,17,24,17,28,0.7,27,81,1006.3,1,243.6,34.67748
6,25,30,17,16,0.7,26.5,84,1006.4,0.6,275.4,36.842453
5,28,32,21,11,0.6,26.6,84,1006.4,0.9,267.6,38.912514
16,36,27,17,10,0.6,26.9,79,1006.3,1.4,262.7,38.824795
9,26,26,17,20,0.7,27,78,1006.4,1.8,243.8,35.582455
14,28,28,21,22,0.7,27.8,74,1007.2,2.1,235.2,37.33671
10,25,32,27,32,0.8,28.9,68,1008,2,223.7,41.88264
5,17,33,19,50,0.7,29.7,64,1008.5,2.4,234.3,38.59587
2,16,44,17,57,0.7,30.2,63,1009,2.3,238.2,42.41022
4,14,38,17,85,0.7,32.9,54,1005.9,1.3,244.3,44.55754
7,20,40,20,76,0.7,32.5,56,1005.6,1.8,233,42.545456
9,27,48,20,60,0.7,31.5,61,1005.7,1.6,259.5,45.204594
8,30,43,24,44,0.8,30.6,66,1006.2,1.2,245.4,43.686146
6,36,49,17,25,0.8,29.8,69,1006.8,1,301.2,46.953415
8,43,44,24,13,0.8,29.2,71,1007.4,0.8,30.6,47.61439
10,41,47,26,16,0.8,28.8,72,1007.6,0.9,293.7,47.38708
9,27,40,23,29,0.7,28.7,72,1007.4,1.2,251.5,41.711704
8,31,45,21,21,0.8,28.4,74,1007.3,0.7,241,43.295433
10,39,41,21,11,0.7,27.8,77,1007,0.5,307.4,45.035236
8,36,41,27,12,0.7,27.3,81,1006.7,0.6,1.8,44.294018
7,33,40,27,15,0.7,27.4,82,1006.3,0.8,250.2,43.223515
8,35,39,22,14,0.7,27.2,83,1006.6,0.6,319.4,43.056362
7,33,36,24,14,0.7,27.1,84,1007.1,0.7,319.6,41.60836
13,23,34,28,27,0.7,27.1,85,1007.9,1,101,42.95584
17,21,34,20,32,0.7,27.5,82,1008.7,1.3,114.9,39.180782
6,27,50,22,30,0.8,28.3,78,1009.1,1.3,121.5,45.091656
11,45,67,26,14,0.9,28.4,78,1009.7,1.3,68.3,55.03159
23,30,47,33,53,0.8,29.9,70,1010,1.1,251.3,47.926785
8,19,44,21,76,0.7,30.4,65,1009.3,2,238,43.77477
7,19,42,19,90,0.7,30.9,65,1008.8,1.2,298.8,46.14985
3,30,53,23,65,0.7,27.2,73,1008.6,2.8,41.9,48.10464
3,33,85,23,65,0.7,25.4,83,1007.7,2,56.8,59.53393
4,32,14,13,81,0.7,27.8,75,1006.7,1.9,66.1,41.453278
5,41,42,11,64,0.7,29.7,73,1006.3,1.3,73.4,47.16678
6,44,59,20,45,0.8,30.4,71,1006.3,1.1,51.3,53.14249
7,38,48,25,37,0.7,29.9,72,1007,1.2,93,47.09782
7,38,55,24,25,0.7,28.8,77,1007.4,1.6,110.9,49.37208
6,37,47,23,21,0.7,28.3,80,1008.3,1.8,101.7,46.623207
6,35,34,21,20,0.6,27.9,81,1009.1,1.3,91.3,41.928986
6,29,35,16,27,0.6,27.8,81,1009.6,1.2,97.1,40.0575
5,23,29,20,32,0.6,27.6,82,1010.3,0.8,89.7,37.43818
5,38,12,13,16,0.6,27.1,84,1010.8,1.6,55,36.63756
5,20,14,23,85,0.6,24.4,78,1010.8,2.5,61,45.46307
5,24,9,6,78,0.6,23.8,78,1009.6,1.9,73.3,39.169033
5,25,11,7,70,0.6,24.3,76,1009.7,1.2,91.2,37.28513
5,32,16,7,56,0.6,24.4,76,1009.8,1.6,76.1,36.570442
5,51,19,8,29,0.7,24.4,78,1010.6,1.3,53.3,44.06865
5,59,29,9,20,0.7,24.6,78,1011,1.5,61.7,50.399113
6,66,33,11,13,0.8,24.8,79,1011.3,1.5,72.9,54.10834
6,63,38,18,28,0.8,25.9,75,1011.1,1.5,65.8,54.184715
7,35,36,15,72,0.7,26.7,72,1011.3,2,78.5,42.43172
6,40,47,19,71,0.7,26.5,74,1010.8,1.7,77.5,47.887093
6,35,43,22,75,0.6,26.4,76,1010.5,1.6,90.6,45.378826
6,72,44,23,16,0.9,24.8,83,1010.5,1.4,343.6,59.361824
4,45,23,27,36,0.7,22.1,92,1011.4,2.3,339,45.79838
4,55,14,6,26,0.7,22.6,90,1009.7,1.5,94.1,44.321575
5,73,17,8,7,0.8,22.6,90,1010,1.3,108.8,52.257862
6,69,22,9,5,0.8,22.6,90,1010.6,0.7,64.6,51.989437
8,65,21,15,5,0.8,22.5,91,1011.3,0.7,77.6,49.47807
10,59,28,16,7,0.7,22.6,90,1011.8,0.5,27.3,49.0982
6,58,26,20,8,0.7,22.8,89,1011.8,0.7,16.6,48.541134
6,59,39,35,3,0.8,22.8,91,1011.5,1.5,60.8,56.431686
5,55,30,32,12,0.8,23.2,89,1012,1.6,63.5,52.959743
5,47,28,28,33,0.8,23.8,85,1012.5,1.9,68.4,47.085636
5,40,25,18,46,0.7,24.7,81,1012.8,1.7,82.9,41.150536
5,41,36,16,47,0.7,25.2,79,1012.8,1.6,89.4,45.106255
6,43,34,18,48,0.7,25.5,78,1012.3,1.5,90.8,45.041943
7,37,28,15,59,0.7,26.2,76,1011.6,1.3,85.7,40.702114
8,30,26,17,73,0.7,26.7,74,1011,1.6,93.9,39.28561
8,28,36,21,83,0.7,27.2,73,1010.1,1.7,108.1,43.357605
5,23,25,24,100,0.7,28,70,1009,1.6,112,48.517303
5,24,48,22,92,0.7,28.2,70,1008.6,1.4,73.5,47.876564
5,29,36,19,82,0.7,28.1,71,1008.4,1.2,92.7,43.494976
5,28,44,23,76,0.7,27.4,74,1008.7,1.7,112.7,45.086994
4,20,29,22,57,0.6,26.7,76,1009.5,1.7,107.4,38.5341
5,25,31,19,48,0.6,26.4,78,1010.5,1.2,110.7,38.790024
4,24,25,21,49,0.6,26,79,1010.9,1.3,89,36.956043
4,25,32,16,44,0.6,25.9,80,1011.2,1.4,109.9,38.615532
3,27,35,17,38,0.6,25.4,83,1011,1.3,109,39.83025
4,28,43,22,33,0.6,25.1,84,1010.4,1.2,109.2,43.185024
5,31,36,24,26,0.6,24.8,85,1009.8,0.7,83.6,41.053852
4,35,33,18,16,0.6,24.5,86,1009.5,0.7,90.6,42.034042
16,60,38,28,4,0.7,25.2,85,1009.9,1.2,93.5,51.898006
14,60,45,36,5,0.8,25.9,82,1010.6,1,90.5,56.004482
12,54,57,36,16,0.7,27,78,1011.1,1.1,78.8,55.173008
8,44,47,34,28,0.7,27.5,77,1010.7,1.5,62.4,49.53551
7,28,42,28,64,0.6,28.7,72,1009.7,2.2,118.2,44.685635
4,17,41,19,94,0.6,29.4,69,1008.7,2.3,103.5,47.630707
5,14,37,19,108,0.6,29.9,67,1007.8,2,106.8,51.16743
4,17,40,24,90,0.6,30.2,65,1007,1.9,230.8,46.3681
5,13,39,23,84,0.6,30.5,62,1006.2,2,275.4,44.77499
5,13,35,17,82,0.6,30.3,64,1005.5,1.8,268.6,43.322414
5,14,37,14,71,0.6,29.9,65,1005.3,2.3,260.2,41.005177
6,20,38,18,51,0.6,29,68,1005.8,2,236.7,40.619785
7,20,39,14,38,0.6,28.3,72,1006.6,1.9,257,39.895626
6,19,30,16,31,0.6,27.8,75,1007.2,1.4,289.7,36.727894
5,24,30,9,24,0.6,27.5,77,1007.7,1,302.7,36.915646
5,36,30,11,11,0.6,27.2,79,1008.1,1.1,98.6,41.625347
5,31,35,13,14,0.6,26.7,82,1007.9,1.1,103.4,41.129166
4,30,21,17,10,0.6,26.2,85,1007.4,0.8,88.9,36.500027
5,34,22,10,5,0.5,25.9,87,1006.7,0.7,79,38.483994
5,34,27,15,4,0.5,25.9,88,1006.2,0.7,75,39.869267
5,30,29,15,8,0.5,26.1,87,1005.9,0.8,43.5,38.899757
4,31,28,16,4,0.6,26,88,1005.8,0.6,74.3,38.96364
5,32,29,15,3,0.6,25.9,89,1005.7,0.5,13.6,39.573452
7,32,28,19,10,0.7,26.9,86,1006.1,0.7,6.4,38.65571
8,28,26,18,24,0.8,28.2,78,1006.3,1.4,247.3,36.18416
7,33,50,21,18,0.7,28,79,1006.7,2.4,232.1,45.94489
4,14,10,4,115,0.6,26.2,72,1005.7,1.9,260.2,52.672157
4,20,19,9,119,0.7,26.9,69,1004.3,1.4,3.1,54.43777
3,24,28,13,129,0.7,26.8,70,1004.1,0.8,42,59.455173
4,42,32,12,106,0.7,27.2,70,1004,0.6,5.1,52.69596
5,40,33,17,107,0.8,27.5,69,1004.2,1.1,256.1,51.156925
6,35,45,21,102,0.8,26.6,71,1004.9,0.9,270.6,50.056976
5,42,34,19,70,0.8,26.3,74,1005.7,0.6,254.9,44.569817
6,50,38,24,53,0.9,26,76,1006.3,0.5,288.1,48.579613
5,42,42,28,58,0.8,26.2,75,1007,0.9,279.3,46.786987
5,44,43,25,28,0.8,24.9,79,1007.4,1.9,340.1,48.0652
4,30,20,17,36,0.8,24,79,1007.3,1.6,337.3,35.66713
5,33,2,6,30,0.8,23.8,77,1007,1.4,313.5,31.46242
4,46,21,5,11,0.8,23.4,79,1006.7,1.3,318.1,42.91067
5,46,24,11,8,0.8,23,78,1006.6,1.6,325.2,43.45016
6,34,19,12,16,0.8,22.4,76,1006.6,1.8,333.9,36.88363
6,25,20,10,24,0.8,22,74,1007,1.6,318.3,33.683697
6,23,15,10,27,0.8,21.4,74,1007.4,1.8,326.9,31.310099
6,22,14,9,30,0.8,21.3,73,1008,2,331.4,30.634638
8,26,20,10,27,0.8,21.3,72,1009,2.1,332.5,33.776707
6,28,23,15,26,0.8,21.6,71,1009.8,1.8,337.4,35.628403
5,28,24,14,27,0.9,21.8,70,1010.2,1.8,346,35.99935
5,28,26,10,32,0.9,22.7,67,1010.3,1.7,358.5,36.773033
5,28,29,9,40,0.9,23.4,66,1010,1.5,355.8,37.755383
5,27,26,8,55,0.9,24.9,63,1009.4,1.2,347.8,36.63352
5,22,24,15,87,0.9,25.2,62,1008.4,1.7,12.8,43.0167
4,19,29,14,110,0.9,25.8,60,1007.4,1.9,6.2,51.130554
3,19,33,10,110,0.8,25.9,60,1006.8,1.5,351.2,51.781475
5,23,30,10,85,0.9,25.2,63,1006.9,2,355.6,43.23305
4,26,31,15,77,0.9,25,63,1006.8,1.8,358.4,41.26349
5,30,31,15,68,0.9,24.8,64,1007.2,1.7,7.8,39.324924
4,33,28,15,56,0.9,24.7,64,1007.8,1.5,11.4,39.305313
5,38,30,15,42,0.9,24.4,66,1008.7,1.7,49.2,41.795578
7,40,32,11,29,1,24.2,66,1009.5,1.7,42.2,42.98433
6,32,33,15,40,0.9,23.9,67,1010,2.1,43,40.227554
5,26,33,20,46,0.9,23.5,67,1010.1,2.1,40.7,39.317177
5,26,42,22,46,0.9,22.9,67,1009.6,1.8,39.3,42.719997
4,24,33,25,45,0.9,22.6,67,1009.5,1.4,43,40.560196
4,27,34,25,39,0.9,22.4,68,1009.1,1.5,54.3,40.871693
5,26,37,26,41,0.9,22.3,67,1009,1.4,40.2,41.861988
4,27,37,23,39,0.8,22,69,1009.2,1.4,45.8,41.12745
5,24,42,21,40,0.9,20.7,78,1009.9,1.9,67.3,42.149883
3,26,38,23,36,0.9,19.3,88,1010.9,1.6,45.2,41.18706
4,33,31,22,28,0.9,19.2,90,1011.3,1.7,35.6,40.08641
5,35,32,21,30,0.9,19.7,87,1011.8,2.2,44.1,41.02261
5,33,31,29,39,0.9,20.3,84,1012.3,1.8,35.7,43.30671
4,28,28,23,46,0.9,21.2,80,1012.4,2.1,43.5,38.57628
5,27,31,22,51,0.9,21.9,76,1012.3,1.8,42.8,39.189186
6,29,34,18,51,0.9,22.5,74,1011.8,1.9,32.4,39.846256
7,30,34,19,55,0.9,22.5,74,1011.2,1.6,26.6,40.19621
6,33,37,23,58,0.8,22.4,74,1010.7,1.7,33.2,42.375416
6,39,44,22,39,0.9,21.4,82,1010.2,1.8,353.7,46.209167
5,40,31,23,30,0.9,20.5,89,1010.5,1.6,329.2,42.61655
4,39,21,22,33,0.8,20.1,90,1010.6,2.1,0.6,40.867462
4,36,16,12,34,0.8,20.1,90,1011,1.4,25.5,36.986633
4,42,12,10,17,0.9,20.3,90,1011.5,1.3,28.6,38.093666
4,39,18,10,24,0.8,20.2,89,1012.1,1.7,45.2,38.91544
4,41,14,9,22,0.8,20,89,1012.4,1.3,48.3,38.49085
5,47,21,17,13,0.8,20,89,1012.8,1.1,36.4,42.65043
6,39,17,18,18,0.8,20.2,88,1012.9,1.3,24.5,38.687313
6,41,20,14,14,0.8,20.3,88,1012.6,1.2,25.9,39.913757
6,40,17,17,15,0.8,20.3,88,1012.3,1.4,36.6,38.70468
4,38,26,14,15,0.8,19.8,90,1012,1,29.8,40.908195
5,32,20,13,19,0.7,20,88,1011.5,0.9,28.1,36.637676
6,35,20,12,14,0.7,20,88,1011.3,0.9,61.9,37.736515
6,37,25,11,11,0.7,20,88,1011.6,1,35.5,40.161297
6,36,25,17,13,0.7,20.2,86,1012.6,1.4,18.3,39.520214
6,37,21,17,15,0.7,20.6,84,1013.4,1.8,18.3,38.648922
5,39,23,11,26,0.7,20.9,80,1013.9,2,34.8,40.44023
5,41,25,16,29,0.7,21.2,77,1014.4,1.6,50.3,41.66473
7,35,28,13,38,0.7,21.6,76,1014.5,2.1,65.4,40.02958
12,31,26,14,51,0.7,22.3,73,1014.2,2,61,37.010906
7,27,41,21,100,0.7,23.2,68,1013.6,2.2,71.1,48.878017
7,27,51,25,144,0.7,23.5,65,1013,1.9,75.9,66.5196
7,28,58,31,156,0.7,23.8,64,1012.3,1.5,71.2,72.512505
7,34,70,38,147,0.7,23.6,64,1011.6,1.8,65.2,67.40253
8,41,66,43,142,0.7,23.6,65,1011.4,1.7,55.1,65.71172
8,46,73,43,138,0.7,23.4,65,1011.3,1.6,64.5,64.20064
8,51,84,47,123,0.8,23.2,67,1011.6,1.2,55.5,66.22906
7,51,81,50,110,0.8,23.1,68,1012.4,0.9,29.1,65.170555
8,54,74,58,89,0.9,23.1,68,1012.9,0.4,55.1,68.93892
7,56,72,54,76,0.9,23.1,67,1013.3,0.7,112.9,65.53625
7,59,81,52,63,0.8,23.1,68,1013.5,0.8,77.6,64.82354
6,46,70,53,59,0.7,23,67,1013.8,0.6,73.9,64.870155
6,41,74,41,53,0.7,22.5,72,1013.5,0.5,321.5,58.502113
6,39,65,34,47,0.7,21.5,79,1012.4,0.8,84.6,53.973522
6,54,61,39,31,0.7,21.7,80,1012.1,0.4,354.7,57.16825
6,51,59,37,27,0.7,22,79,1011.7,0.5,43.4,55.42827
6,78,69,39,2,0.8,21.9,78,1011.4,0.8,65.8,69.18938
7,76,81,48,9,0.8,21.9,77,1011.5,1.1,69.2,71.66949
6,63,68,45,23,0.7,22,76,1011.6,0.8,68.5,63.552845
8,67,58,37,33,0.7,22.3,70,1012.2,1,56.2,61.180183
7,62,58,28,42,0.7,22.5,64,1012.8,0.9,46.5,59.673267
